"","Mandarin","English","Hindi","Spanish","Arabic","Malay","Russian","Bengali","Portuguese","French","Hausa","Punjabi","Japanese","German","Persian"
"China",940201858.2,14245482.7,0,0,0,0,0,0,0,0,0,0,0,0,0
"United States",3314315.3,316517111.15,1325726.12,44080393.49,2320020.71,0,1657157.65,331431.53,1325726.12,2320020.71,0,331431.53,662863.06,1657157.65,0
"India",0,168750125.5,636270965,0,0,0,0,110655820,0,0,0,41495932.5,0,0,0
"Pakistan",0,118766528.1,0,0,0,0,0,0,0,0,0,100013918.4,0,0,0
"Philippines",0,69881065.8,0,3291102,0,0,0,0,0,0,0,0,0,0,0
"United Kingdom",0,65785523.17,0,4040052.6,0,0,0,0,0,10773473.6,0,0,0,0,0
"Germany",0,57778315,0,3301618,0,0,0,0,0,11555663,0,0,0,80064236.5,0
"Canada",639254.57,32188347.76,338428.89,752064.2,451238.52,15041.284,188016.05,75206.42,225619.26,10904930.9,0,526444.94,37603.21,413635.31,225619.26
"France",0,25631256.3,0,9200963.8,0,0,0,0,0,63749534.9,0,0,0,0,0
"Australia",0,24636234.6,0,507963.6,0,0,0,0,0,0,0,0,0,0,0
"Italy",0,20104903.8,0,6504527.7,0,0,0,0,0,8869810.5,0,0,0,0,0
"Bangladesh",0,30559555.8,0,0,0,0,0,167738006.28,0,0,0,0,0,0,0
"Egypt, Arab Rep.",0,36029518,0,0,95735576.4,0,0,0,0,3088244.4,0,0,0,0,0
"Thailand",0,18879756.64,0,0,0,2082326.1,0,0,0,0,0,0,0,0,0
"Netherlands",0,15463125,0,859062.5,0,0,0,0,0,3608062.5,0,0,0,0,0
"Nepal",0,14071011.6,0,0,0,0,0,0,0,0,0,0,0,0,0
"South Africa",0,18203581.3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Poland",0,14038625.1,0,379422.3,0,0,0,0,0,1138266.9,0,0,0,0,0
"Turkey",0,14252077.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iraq",0,14526011.5,0,27391907.4,0,0,0,0,0,0,0,0,0,0,0
"Sri Langka",0,9909498.8,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spain",0,10221028.4,0,45901709.36,0,0,0,0,0,5110514.2,0,0,0,0,0
"Brazil",0,10693152.5,0,6415891.5,0,0,0,0,213863050,0,0,0,0,0,0
"Sweden",0,8704653.4,0,607301.4,0,0,0,0,0,1113385.9,0,0,0,0,0
"Kenya",0,10056439.6,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cameroon",0,9864108.4,0,0,0,0,0,0,0,10383272,0,0,0,0,0
"Malaysia",7691420.88,20576194.32,0,0,0,13575029.16,0,0,0,0,0,0,0,0,0
"Russia",0,7908276.2,0,0,0,0,123225321.88,0,0,0,0,0,0,0,0
"Belgium",0,6971982,0,580998.5,0,0,0,0,0,8366378.4,0,0,0,0,0
"Israel",0,7406526,0,0,2178390,0,0,0,0,0,0,0,0,0,0
"Austria",0,6411013.3,0,351288.4,0,0,0,0,0,966043.1,0,0,0,7781038.06,0
"Romania",0,6010391.6,0,969418,0,0,0,0,0,1744952.4,0,0,0,0,0
"Myanmar",0,2466372.6,0,0,0,0,0,0,0,0,0,0,0,0,0
"Madagascar",0,4984344,0,0,0,0,0,0,0,5538160,0,0,0,0,0
"Zimbabwe",0,7355075.52,0,0,0,0,0,0,0,0,0,0,0,0,0
"Greece",0,5662310.7,0,0,0,0,0,0,0,777179.9,0,0,0,0,0
"Sierra Leone",0,6719186.55,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico",0,17269233.87,0,123160427.6,0,0,0,0,0,0,0,0,0,0,0
"Denmark",0,4985248,0,231872,0,0,0,0,0,463744,0,0,0,0,0
"Morocco",0,5189900.8,0,3707072,27432332.8,0,0,0,0,11491923.2,0,0,0,0,0
"Norway",0,4904721,0,108993.8,0,0,0,0,0,0,0,0,0,0,0
"Republic of Ireland",0,4809782.16,0,195519.6,0,0,0,0,0,586558.8,0,0,0,0,0
"Singapore",2077267.5,4932026.55,0,0,0,652855.5,0,0,0,0,0,0,0,0,0
"Tanzania",0,62084099.18,0,0,0,0,0,0,0,0,0,0,0,0,0
"New Zealand",0,4728062.76,0,0,0,0,0,0,0,0,0,0,0,0,0
"Finland",0,3906091,0,167403.9,0,0,0,0,0,558013,0,0,0,0,0
"Portugal",0,2758970.7,0,1021841,0,0,0,0,10116225.9,2350234.3,0,0,0,0,0
"Papua New Guinea",0,4360328.64,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hong Kong",3622872,3479466.65,0,0,0,0,0,0,0,0,0,0,0,0,0
"Liberia",0,4220883.95,0,0,0,0,0,0,0,0,0,0,0,0,0
"Columbia",0,0,0,49818646.72,0,0,0,0,0,0,0,0,0,0,0
"Argentina",0,2958176,0,45237337.6,0,0,0,0,0,0,0,0,0,0,0
"Venezuela",0,0,0,32774321.32,0,0,0,0,0,0,0,0,0,0,0
"Peru",0,0,0,28848347.88,0,0,0,0,0,0,0,0,0,0,0
"Chile",0,1754900.8,0,18343331.52,0,0,0,0,0,0,0,0,0,0,0
"Ecuador",0,0,0,17006262.84,0,0,0,0,0,0,0,0,0,0,0
"Guatemala",0,0,0,15474939.84,0,0,0,0,0,0,0,0,0,0,0
"Cuba",0,0,0,11426517.06,0,0,0,0,0,0,0,0,0,0,0
"Dominican Republic",0,0,0,11063926.56,0,0,0,0,0,0,0,0,0,0,0
"Bolivia",0,0,0,10147158.42,0,0,0,0,0,0,0,0,0,0,0
"Honduras",0,0,0,9622077.3,0,0,0,0,0,0,0,0,0,0,0
"Paraguay",0,0,0,7066330,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",0,0,0,6479070,0,0,0,0,0,0,0,0,0,0,0
"Nicaragua",0,0,0,6416570,0,0,0,0,0,0,0,0,0,0,0
"Costa Rica",0,0,0,5003826.56,0,0,0,0,0,0,0,0,0,0,0
"Panama",0,0,0,3993366.23,0,0,0,0,0,0,0,0,0,0,0
"Uruguay",0,0,0,3455951.71,0,0,0,0,0,3494.39,0,0,0,0,0
"Puerto Rico",0,1774196.46,0,3606802.68,0,0,0,0,0,0,0,0,0,0,0
"Switzerland",0,5315041.02,0,173410.8,0,0,0,0,0,0,0,0,0,5462440.2,0
"Belarus",0,0,0,0,0,0,6609631.86,0,0,0,0,0,0,0,0
"Indonesia",0,0,0,0,0,204167242.5,0,0,0,0,0,0,0,0,0
"Ukraine",0,0,0,0,0,0,12899452.08,0,0,43579.23,0,0,0,0,0
"Uzbekistan",0,0,0,0,0,0,4719487.86,0,0,0,0,0,0,0,0
"Angola",0,0,0,0,0,0,0,0,23373108.8,0,0,0,0,0,0
"Japan",0,0,0,0,0,0,0,0,0,0,0,0,126495650,0,0
"Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,30443952
"Iran, Islamic Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,49149232.44
"Nigeria",0,109961850.18,0,0,0,0,0,0,0,0,80193400.3,0,0,0,0
"Niger ",0,0,0,0,0,0,0,0,0,3129709.7,9870622.9,0,0,0,0
"Ghana",0,20499417.92,0,0,0,0,0,0,0,245870.08,15428347.52,0,0,0,0
"Tunisia",0,0,0,0,11665077.2,0,0,0,0,6427695.6,0,0,0,0,0
"Syrian Arab Republic",0,0,0,0,17410484.8,0,0,0,0,0,0,0,0,0,0
"Sudan",0,0,0,0,30478840,0,0,0,0,0,0,0,0,0,0
"Libya",0,0,0,0,4796762.4,0,0,0,0,0,0,0,0,0,0
"United Arab Emirates",0,0,0,0,3925268,0,0,0,0,98131.7,0,0,0,0,0
